时间坐标,穿透率,处理效率,进口浓度,出口浓度,风速段,数据点数,计算规则,拼接时间段
419.4401388888889,0.18656471765292917,81.34352823470708,27.403900256061096,10.225201827722145,,3,规则2-拼接段,521_522
429.63944444444445,0.15709039239428588,84.29096076057141,27.86698924856584,8.755272551809107,,3,规则2-拼接段,523_524
429.69166666666666,0.18539867355038023,81.46013264496197,33.58739030856828,6.227057611227456,,2,规则2-拼接段,525_526
429.77458333333334,0.28353531470893956,71.64646852910604,40.34353587278233,11.438817140160731,,4,规则2-拼接段,527_528
429.8901388888889,0.14563198601792882,85.43680139820712,45.86997699480477,3.3400679241750626,,3,规则2-拼接段,529_530
430.72819444444445,0.22001803791452926,77.99819620854707,30.921948056900387,6.803386339974214,,4,规则2-拼接段,531_532
431.63375,0.12999947641675544,87.00005235832445,34.847528400958275,4.530160446542591,,2,规则2-拼接段,533_534
432.80597222222224,0.21453432659970914,78.54656734002909,45.022435039025275,4.829428891488218,,3,规则2-拼接段,535_536
434.0161111111111,0.30247341091344004,69.752658908656,36.34342348717048,10.992919266436086,,4,规则2-拼接段,537_538
434.9122222222222,0.23837872175470978,76.16212782452902,41.02679392170299,9.779914692749456,,4,规则2-拼接段,539_540
435.7190277777778,0.27506082707612467,72.49391729238754,37.52868250583979,10.322670449133584,,2,规则2-拼接段,541_542
435.77416666666664,0.24335962486470678,75.66403751352932,41.55182808555725,10.112037295343999,,4,规则2-拼接段,543_544
435.86805555555554,0.1955376078224033,80.44623921775967,57.80122326811503,5.651156463527926,,3,规则2-拼接段,545_546
435.8952777777778,0.24543563586266046,75.45643641373397,24.037013366422656,11.799079319654425,,3,规则2-拼接段,547_548
437.8497222222222,0.22078131831671546,77.92186816832846,29.486937731882094,13.020329971135657,,3,规则2-拼接段,549_550
437.9063888888889,0.1494488653598711,85.05511346401289,43.7387358624686,6.536704446921035,,2,规则2-拼接段,551_552
438.0,0.2801737808574333,71.98262191425667,40.1107860028894,11.237990567592936,,4,规则2-拼接段,553_554
